						Earth VS Aliens War Report

Td			ID   				Tj				Df				Dd				Db
127			2415   				52				0				75				75
128			2135   				16				10				102				112
128			818   				86				0				42				42
130			965   				100				18				12				30
130			2452   				56				0				74				74
132			8   				1				4				127				131
132			963   				100				20				12				32
132			2959   				109				0				23				23
133			2474   				58				0				75				75
133			2491   				59				0				74				74
134			962   				100				22				12				34
134			437   				47				0				87				87
135			803   				83				0				52				52
135			927   				97				0				38				38
136			961   				100				24				12				36
136			956   				99				0				37				37
137			932   				97				38				2				40
138			951   				99				28				11				39
138			2405   				51				0				87				87
139			2111   				14				10				115				125
139			2560   				65				0				74				74
140			2530   				63				0				77				77
141			949   				99				30				12				42
141			715   				75				0				66				66
143			948   				98				0				45				45
144			941   				98				35				11				46
144			2585   				68				0				76				76
145			934   				97				0				48				48
145			2607   				70				0				75				75
146			2588   				69				0				77				77
146			2473   				58				0				88				88
148			32   				6				3				139				142
149			25   				6				3				140				143
150			925   				97				40				13				53
150			2896   				100				0				50				50
151			924   				96				0				55				55
152			923   				96				45				11				56
153			2887   				99				0				54				54
154			2018   				5				1				148				149
156			920   				96				47				13				60
158			913   				96				50				12				62
159			912   				95				0				64				64
161			33   				6				4				151				155
163			910   				95				54				14				68
169			2   				1				3				165				168
169			905   				95				59				15				74
174			904   				95				65				14				79
178			903   				95				70				13				83
182			902   				95				74				13				87
185			897   				94				0				91				91
189			891   				94				82				13				95
189			886   				93				90				6				96
192			887   				93				0				99				99
196			881   				93				97				6				103
203			35   				6				5				192				197
210			13   				5				1				204				205
210			38   				7				5				198				203
211			878   				93				104				14				118
215			869   				91				120				4				124
217			877   				93				109				15				124
220			873   				91				0				129				129
220			867   				91				125				4				129
221			2429   				53				14				154				168
222			2166   				18				26				178				204
225			2175   				19				2				204				206
230			864   				90				0				140				140
234			2016   				5				1				228				229
236			866   				91				130				15				145
242			41   				7				6				229				235
244			863   				90				141				13				154
247			853   				90				153				4				157
248			859   				90				145				13				158
250			2299   				38				5				207				212
252			854   				90				149				13				162
258			851   				89				0				169				169
262			850   				89				160				13				173
265			849   				89				164				12				176
270			835   				88				175				7				182
271			846   				89				167				15				182
272			836   				88				0				184				184
275			834   				88				183				4				187
278			17   				5				2				271				273
286			2240   				30				4				252				256
287			2229   				29				13				245				258
289			2192   				22				3				264				267
290			832   				88				188				14				202
294			830   				88				193				13				206
296			827   				86				0				210				210
298			824   				86				207				5				212
299			2159   				18				15				266				281
302			826   				86				201				15				216
310			806   				84				222				4				226
311			63   				9				10				292				302
314			821   				86				213				15				228
315			812   				84				0				231				231
316			79   				10				12				294				306
317			72   				9				11				297				308
319			177   				21				29				269				298
323			26   				6				3				314				317
323			801   				83				0				240				240
326			2825   				94				30				202				232
328			798   				83				231				14				245
333			2644   				74				3				256				259
334			795   				83				236				15				251
337			85   				11				13				313				326
340			794   				83				242				15				257
341			87   				11				14				316				330
342			791   				82				0				260				260
343			2861   				97				35				211				246
343			36   				6				5				332				337
345			235   				26				41				278				319
346			2839   				95				39				212				251
347			2526   				62				53				232				285
347			99   				13				15				319				334
348			789   				82				251				15				266
351			245   				27				43				281				324
352			2301   				41				22				289				311
352			101   				13				16				323				339
354			788   				82				257				15				272
359			787   				82				263				14				277
361			2609   				70				51				240				291
362			42   				7				6				349				355
363			786   				82				268				13				281
363			2104   				13				3				347				350
365			784   				82				279				4				283
366			103   				13				17				336				353
367			111   				14				18				335				353
368			112   				14				18				336				354
370			785   				82				272				16				288
373			120   				14				19				340				359
374			289   				32				51				291				342
374			778   				81				288				5				293
377			46   				7				7				363				370
378			780   				81				0				297				297
383			21   				5				2				376				378
384			772   				81				299				4				303
388			48   				7				7				374				381
389			775   				81				294				14				308
396			49   				8				7				381				388
396			128   				16				21				359				380
400			771   				81				304				15				319
401			123   				16				20				365				385
401			52   				8				8				385				393
401			54   				8				8				385				393
402			2214   				24				0				378				378
404			56   				8				9				387				396
405			769   				81				310				14				324
408			768   				80				0				328				328
408			151   				18				25				365				390
410			130   				16				22				372				394
412			765   				80				319				13				332
414			144   				17				24				373				397
415			142   				17				24				374				398
416			2565   				67				114				235				349
416			69   				9				11				396				407
417			763   				80				323				14				337
417			2477   				58				41				318				359
419			70   				9				11				399				410
420			60   				8				10				402				412
422			759   				80				328				14				342
422			2802   				91				8				323				331
422			179   				21				30				371				401
424			756   				79				0				345				345
424			28   				6				3				415				418
430			2844   				96				2				332				334
432			753   				79				336				17				353
432			83   				10				13				409				422
434			2348   				45				237				152				389
435			210   				24				36				375				411
435			213   				24				36				375				411
436			186   				22				31				383				414
437			77   				10				12				415				427
437			744   				78				0				359				359
438			199   				23				33				382				415
439			196   				23				32				384				416
440			203   				23				34				383				417
442			88   				11				14				417				431
443			82   				10				13				420				433
443			741   				78				350				15				365
444			563   				60				97				287				384
445			215   				24				37				384				421
445			7   				1				4				440				444
446			2027   				7				6				433				439
447			2251   				30				29				388				417
449			220   				25				38				386				424
449			96   				11				15				423				438
450			739   				78				356				16				372
451			243   				27				43				381				424
452			720   				75				0				377				377
454			2453   				56				7				391				398
455			233   				26				41				388				429
455			737   				78				363				14				377
456			2131   				15				36				405				441
457			94   				11				15				431				446
457			2174   				19				8				430				438
459			732   				77				376				6				382
460			733   				78				368				14				382
460			264   				29				46				385				431
461			2000   				4				5				452				457
461			102   				13				16				432				448
462			2956   				109				67				286				353
463			270   				30				48				385				433
464			683   				72				136				256				392
465			107   				13				17				435				452
468			256   				29				45				394				439
468			280   				31				49				388				437
468			2324   				43				16				409				425
470			288   				31				51				388				439
474			298   				32				53				389				442
476			2127   				15				204				257				461
477			731   				77				383				17				400
477			2115   				14				16				447				463
478			2122   				15				5				458				463
479			284   				31				50				398				448
479			286   				31				50				398				448
479			119   				14				19				446				465
482			730   				77				391				14				405
485			293   				32				52				401				453
487			304   				33				54				400				454
490			117   				14				19				457				476
491			728   				77				396				18				414
492			858   				90				171				231				402
495			345   				36				61				398				459
497			727   				77				405				15				420
497			122   				16				20				461				481
497			2295   				38				46				413				459
499			2834   				95				108				296				404
500			2555   				65				16				419				435
503			339   				36				60				407				467
503			129   				16				21				466				487
504			726   				77				411				16				427
504			127   				16				21				467				488
505			2538   				63				22				420				442
507			132   				16				22				469				491
508			51   				8				8				492				500
508			376   				40				66				402				468
511			358   				37				63				411				474
511			725   				77				418				16				434
512			360   				37				63				412				475
512			2711   				82				29				401				430
514			2552   				65				220				229				449
516			368   				38				64				414				478
516			723   				77				425				14				439
517			2315   				42				18				457				475
517			157   				20				25				472				497
518			2250   				30				18				470				488
518			159   				20				26				472				498
519			384   				40				68				411				479
520			137   				17				23				480				503
520			164   				20				27				473				500
521			57   				8				9				504				513
521			58   				8				9				504				513
521			721   				77				430				14				444
521			454   				48				81				392				473
521			167   				20				28				473				501
522			400   				43				70				409				479
522			2987   				112				94				316				410
524			169   				21				28				475				503
525			420   				44				75				406				481
525			173   				21				29				475				504
526			59   				8				10				508				518
526			152   				18				26				482				508
526			2015   				5				0				521				521
527			423   				45				76				406				482
527			425   				45				76				406				482
527			2755   				85				71				371				442
527			2543   				64				57				406				463
529			440   				47				78				404				482
529			163   				20				27				482				509
529			714   				75				437				17				454
529			509   				53				91				385				476
530			443   				47				79				404				483
531			188   				22				31				478				509
532			457   				49				81				402				483
533			462   				49				83				401				484
534			2106   				13				102				419				521
535			712   				75				445				15				460
535			2572   				67				35				433				468
535			204   				23				35				477				512
536			481   				51				86				399				485
537			500   				52				89				396				485
537			2171   				19				1				517				518
537			31   				6				4				527				531
537			710   				75				457				5				462
538			2656   				75				18				445				463
539			34   				6				4				529				533
539			2235   				29				4				506				510
540			516   				53				92				395				487
540			183   				22				31				487				518
540			579   				63				100				377				477
541			75   				10				12				519				531
541			711   				75				451				15				466
541			2528   				63				221				257				478
541			219   				25				38				478				516
542			200   				23				33				486				519
542			197   				23				33				486				519
542			589   				65				102				375				477
543			529   				57				93				393				486
543			599   				65				104				374				478
544			546   				58				95				391				486
544			201   				23				34				487				521
546			555   				60				96				390				486
546			2157   				18				7				521				528
546			614   				67				111				368				479
548			570   				62				98				388				486
549			575   				62				99				388				487
549			2034   				7				4				538				542
549			704   				74				0				475				475
550			2652   				75				61				414				475
550			2284   				35				10				505				515
551			222   				25				39				487				526
551			242   				27				42				482				524
552			2762   				87				190				275				465
554			601   				66				106				382				488
554			2614   				71				64				419				483
555			231   				26				152				377				529
555			617   				67				112				376				488
555			709   				75				463				17				480
556			234   				26				41				489				530
556			695   				73				139				344				483
557			688   				73				138				346				484
557			698   				74				140				343				483
558			236   				26				42				490				532
558			629   				68				116				374				490
559			639   				69				119				371				490
560			650   				70				124				366				490
560			2973   				111				242				207				449
560			100   				13				16				531				547
561			655   				70				127				364				491
562			700   				74				483				5				488
563			272   				30				48				485				533
564			250   				27				44				493				537
565			685   				73				137				355				492
565			679   				72				135				358				493
565			687   				73				138				354				492
566			701   				74				476				16				492
566			2089   				12				19				535				554
566			108   				13				17				536				553
568			258   				29				45				494				539
568			287   				31				50				487				537
569			781   				82				158				329				487
570			719   				75				146				349				495
570			716   				75				145				350				495
570			2709   				82				13				475				488
570			2032   				7				34				529				563
571			265   				30				47				494				541
571			2850   				96				124				351				475
571			808   				84				162				325				487
572			269   				30				196				346				542
572			43   				7				6				559				565
573			749   				79				151				343				494
573			2191   				21				58				494				552
574			755   				79				153				342				495
574			2691   				78				0				496				496
574			2796   				91				74				409				483
575			274   				30				49				496				545
575			752   				79				153				343				496
575			114   				14				18				543				561
575			2066   				10				8				557				565
579			699   				74				489				16				505
579			314   				34				55				490				545
580			799   				83				160				337				497
580			802   				83				161				336				497
580			686   				73				500				7				507
581			2439   				55				126				400				526
582			689   				73				0				509				509
582			322   				34				57				491				548
583			300   				32				53				498				551
584			2730   				83				6				495				501
584			325   				35				58				491				549
585			302   				33				53				499				552
586			305   				33				54				499				553
586			829   				88				166				332				498
586			2266   				33				6				547				553
587			839   				88				167				332				499
587			908   				95				176				316				492
588			914   				96				176				316				492
590			857   				90				170				330				500
590			315   				34				56				500				556
590			2327   				43				162				385				547
590			341   				36				60				494				554
591			317   				34				56				501				557
593			682   				72				513				8				521
594			684   				72				0				522				522
594			2602   				70				2				522				524
595			884   				93				174				328				502
595			893   				94				175				326				501
596			125   				16				83				497				580
597			355   				37				62				498				560
598			898   				94				176				328				504
599			921   				96				177				326				503
601			362   				38				63				500				563
602			344   				36				61				505				566
603			136   				17				22				564				586
604			2509   				61				88				455				543
605			958   				99				181				325				506
605			383   				40				252				313				565
606			350   				37				62				507				569
606			393   				42				69				495				564
606			397   				43				70				493				563
607			967   				100				182				325				507
607			406   				43				72				492				564
608			359   				37				63				508				571
608			970   				100				182				326				508
609			980   				101				183				325				508
609			413   				44				73				492				565
610			363   				38				63				509				572
610			681   				72				522				16				538
610			2385   				49				83				478				561
611			429   				45				77				489				566
612			996   				102				185				325				510
612			2373   				48				320				244				564
613			459   				49				82				482				564
614			382   				40				67				507				574
614			380   				40				66				508				574
615			375   				40				66				509				575
615			387   				42				68				505				573
617			392   				42				69				506				575
617			147   				18				24				575				599
617			495   				52				87				478				565
618			407   				43				72				503				575
619			419   				44				74				501				575
619			2362   				47				160				412				572
619			498   				52				88				479				567
620			414   				44				73				503				576
620			680   				72				529				19				548
620			507   				53				90				477				567
620			514   				53				91				476				567
621			158   				20				26				575				601
622			194   				23				32				567				599
623			456   				48				81				494				575
623			450   				48				80				495				575
623			202   				23				34				566				600
623			547   				58				96				469				565
624			166   				20				28				576				604
624			461   				49				82				493				575
624			2715   				82				24				518				542
625			207   				24				132				469				601
626			479   				50				86				490				576
626			486   				51				87				488				575
626			2064   				10				0				616				616
626			569   				62				98				466				564
628			502   				52				89				487				576
629			676   				72				539				18				557
629			593   				65				103				461				564
630			597   				65				104				461				565
630			2871   				98				220				312				532
630			602   				66				106				458				564
631			605   				66				108				457				565
631			230   				26				40				565				605
632			538   				57				94				481				575
632			623   				67				114				451				565
633			552   				58				96				479				575
633			669   				71				0				562				562
633			626   				68				115				450				565
634			205   				24				35				575				610
634			550   				58				96				480				576
634			640   				69				119				446				565
635			561   				60				97				478				575
635			558   				60				97				478				575
635			557   				60				96				479				575
635			2365   				47				22				566				588
635			653   				70				125				440				565
636			567   				62				98				476				574
636			656   				70				128				438				566
636			246   				27				43				566				609
637			2985   				112				1				524				525
638			583   				63				100				475				575
638			225   				25				39				574				613
638			675   				72				134				432				566
639			592   				65				102				472				574
639			2890   				100				107				432				539
639			694   				73				139				427				566
640			608   				66				109				465				574
640			667   				71				553				16				569
640			703   				74				141				425				566
640			705   				74				141				425				566
641			708   				74				143				424				567
641			713   				75				144				422				566
642			2932   				103				43				496				539
642			717   				75				145				422				567
643			637   				69				119				455				574
643			736   				78				149				416				565
644			643   				69				120				455				575
644			735   				78				149				417				566
645			648   				69				123				453				576
645			654   				70				126				449				575
645			2795   				91				369				185				554
646			658   				70				128				448				576
646			657   				70				128				448				576
646			663   				71				131				444				575
646			664   				71				560				15				575
646			2209   				24				8				614				622
647			662   				71				131				445				576
647			668   				71				132				444				576
647			279   				31				49				567				616
647			660   				70				0				577				577
648			666   				71				132				445				577
648			779   				81				157				410				567
649			783   				82				158				409				567
651			255   				29				44				578				622
651			809   				84				162				405				567
651			2688   				78				38				535				573
652			260   				29				46				577				623
652			702   				74				141				437				578
652			295   				32				52				568				620
653			266   				30				47				576				623
653			823   				86				165				402				567
654			742   				78				150				426				576
654			309   				33				221				400				621
654			833   				88				166				400				566
655			750   				79				151				425				576
655			740   				78				150				427				577
655			661   				71				566				18				584
655			311   				33				55				567				622
655			840   				88				167				400				567
656			843   				89				168				399				567
656			313   				34				55				567				622
657			757   				80				153				424				577
657			761   				80				155				422				577
658			777   				81				157				420				577
658			2640   				74				8				576				584
659			870   				91				173				395				568
659			876   				91				174				394				568
659			320   				34				57				568				625
660			324   				34				58				568				626
660			2761   				87				103				470				573
661			882   				93				174				394				568
662			815   				84				164				414				578
663			828   				86				166				411				577
663			331   				35				59				569				628
663			333   				35				235				393				628
664			825   				86				166				412				578
664			659   				70				578				16				594
665			831   				88				166				411				577
665			2291   				38				57				570				627
665			922   				96				177				392				569
665			917   				96				177				392				569
666			847   				89				169				408				577
666			842   				89				168				409				577
666			2854   				97				34				535				569
667			860   				90				171				406				577
667			852   				89				169				409				578
667			343   				36				61				570				631
667			935   				97				178				392				570
668			943   				98				179				391				570
668			2971   				110				34				524				558
669			871   				91				173				405				578
669			318   				34				56				579				635
669			347   				36				62				571				633
669			947   				98				180				391				571
670			323   				34				57				579				636
670			883   				93				174				403				577
670			651   				70				585				15				600
671			888   				93				174				404				578
671			2268   				33				21				617				638
671			2333   				43				154				474				628
672			896   				94				175				403				578
672			326   				35				58				579				637
672			2006   				4				0				668				668
672			976   				101				183				388				571
673			900   				94				176				403				579
673			971   				100				183				390				573
675			335   				35				60				580				640
675			993   				102				185				388				573
677			929   				97				178				402				580
677			140   				17				23				637				660
677			381   				40				67				570				637
677			141   				17				23				637				660
678			939   				98				179				401				580
678			649   				70				591				17				608
678			2534   				63				67				548				615
678			408   				43				72				563				635
679			944   				98				180				401				581
679			938   				98				179				402				581
679			150   				18				25				636				661
679			148   				18				25				636				661
680			645   				69				0				611				611
680			424   				45				76				559				635
681			357   				37				62				582				644
681			957   				99				181				401				582
682			973   				101				182				399				581
682			442   				47				79				556				635
683			983   				101				184				398				582
683			460   				49				82				552				634
683			463   				49				83				551				634
684			978   				101				183				400				583
684			986   				102				184				398				582
685			994   				102				185				398				583
685			487   				51				87				547				634
686			371   				38				65				583				648
686			372   				38				66				582				648
686			178   				21				30				635				665
687			394   				42				69				576				645
687			506   				53				90				544				634
688			388   				42				68				578				646
688			404   				43				253				392				645
688			525   				55				93				540				633
688			513   				53				91				544				635
688			520   				55				92				541				633
690			426   				45				77				568				645
690			415   				44				74				572				646
690			641   				69				602				19				621
691			433   				47				77				567				644
691			160   				20				26				645				671
691			161   				20				27				644				671
691			568   				62				98				531				629
691			584   				63				101				527				628
692			453   				48				81				563				644
693			472   				50				84				559				643
693			590   				65				102				526				628
693			594   				65				103				525				628
693			227   				25				39				629				668
693			92   				11				14				668				682
694			466   				49				84				561				645
694			2261   				31				234				429				663
694			615   				67				111				516				627
695			176   				21				29				645				674
695			492   				51				88				556				644
695			625   				68				267				360				627
695			630   				68				116				511				627
696			240   				26				42				628				670
697			515   				53				92				552				644
697			512   				53				91				553				644
697			638   				69				612				16				628
697			665   				71				131				495				626
697			635   				68				621				8				629
698			195   				23				32				643				675
698			636   				68				0				630				630
698			2893   				100				388				210				598
698			673   				72				134				492				626
698			690   				73				138				487				625
699			542   				58				95				546				641
699			524   				55				93				551				644
699			693   				73				139				487				626
700			259   				29				45				626				671
702			221   				25				38				639				677
702			577   				63				99				540				639
702			2045   				8				8				686				694
702			271   				30				48				624				672
703			600   				65				104				534				638
703			2756   				87				62				554				616
703			760   				80				154				469				623
703			767   				80				156				467				623
704			782   				82				158				464				622
705			804   				83				161				461				622
705			793   				83				159				463				622
706			2013   				5				34				667				701
706			811   				84				163				459				622
707			672   				71				133				503				636
707			652   				70				124				513				637
707			671   				71				133				503				636
707			2749   				85				163				459				622
707			814   				84				163				460				623
707			819   				86				164				457				621
708			2282   				35				123				550				673
708			837   				88				167				453				620
709			677   				72				135				502				637
709			697   				74				140				495				635
709			844   				89				168				452				620
709			862   				90				172				447				619
710			262   				29				46				635				681
710			724   				77				148				485				633
710			707   				74				142				494				636
710			2234   				29				14				667				681
710			872   				91				173				446				619
710			875   				91				174				445				619
711			729   				77				149				485				634
711			722   				77				147				487				634
711			2747   				85				246				380				626
711			2954   				109				253				349				602
712			758   				80				153				479				632
712			895   				94				175				443				618
712			892   				94				175				443				618
713			773   				81				156				476				632
713			911   				95				176				442				618
713			916   				96				176				441				617
713			901   				95				176				442				618
714			790   				82				159				473				632
714			770   				81				156				477				633
715			797   				83				160				472				632
715			800   				83				161				471				632
715			631   				68				630				17				647
715			2517   				62				264				389				653
715			928   				97				177				441				618
716			805   				84				161				471				632
716			813   				84				163				469				632
716			955   				99				180				437				617
716			940   				98				179				439				618
716			952   				99				180				437				617
717			960   				99				181				437				618
717			954   				99				180				438				618
717			356   				37				62				618				680
718			822   				86				165				467				632
718			975   				101				183				434				617
719			855   				90				170				459				629
719			2297   				38				26				655				681
720			865   				91				172				457				629
720			2360   				47				149				524				673
720			367   				38				64				618				682
720			364   				38				64				618				682
721			880   				93				173				455				628
721			889   				94				174				453				627
722			909   				95				176				451				627
722			417   				44				74				604				678
723			627   				68				638				17				655
723			2824   				94				42				587				629
723			458   				49				81				593				674
724			919   				96				177				451				628
724			918   				96				177				451				628
724			933   				97				178				449				627
724			2123   				15				313				396				709
724			478   				50				85				589				674
725			936   				97				179				449				628
725			942   				98				179				448				627
725			482   				51				259				415				674
725			503   				52				89				584				673
726			528   				55				93				578				671
726			531   				57				94				575				669
727			549   				58				96				573				669
727			530   				57				93				577				670
728			966   				100				182				446				628
728			622   				67				0				661				661
728			562   				60				97				571				668
729			987   				102				184				443				627
729			229   				26				40				663				703
729			2493   				60				22				647				669
729			604   				66				107				556				663
730			2274   				33				22				675				697
730			624   				67				115				548				663
731			373   				40				65				626				691
731			410   				44				73				614				687
731			678   				72				135				524				659
732			435   				47				78				607				685
732			674   				72				134				526				660
732			253   				29				44				659				703
733			446   				48				79				606				685
733			464   				49				83				601				684
734			471   				50				84				600				684
734			766   				80				155				499				654
734			776   				81				157				496				653
735			182   				22				30				683				713
735			796   				83				160				492				652
736			820   				86				165				485				650
737			540   				57				95				585				680
737			554   				60				96				581				677
737			868   				91				172				474				646
737			856   				90				170				477				647
738			578   				63				99				576				675
738			582   				63				100				575				675
738			621   				67				652				19				671
738			890   				94				174				470				644
738			328   				35				59				644				703
738			907   				95				176				467				643
739			585   				63				101				575				676
739			596   				65				266				408				674
739			930   				97				178				464				642
739			926   				97				177				465				642
739			937   				98				178				463				641
740			634   				68				117				555				672
740			642   				69				119				552				671
741			644   				69				121				551				672
741			670   				71				132				538				670
741			985   				102				184				455				639
741			991   				102				185				454				639
741			981   				101				184				456				640
742			718   				75				145				522				667
742			696   				73				140				529				669
742			369   				38				65				639				704
742			2277   				35				3				704				707
743			734   				78				148				517				665
743			754   				79				153				511				664
743			747   				79				151				513				664
743			2808   				92				262				389				651
743			403   				43				71				629				700
743			434   				47				78				618				696
744			751   				79				152				513				665
744			792   				82				159				503				662
744			447   				48				80				616				696
744			497   				52				88				604				692
745			816   				84				164				497				661
745			296   				32				52				661				713
745			619   				67				662				16				678
745			2731   				83				78				584				662
745			496   				52				88				605				693
746			817   				86				164				496				660
746			845   				89				169				488				657
746			2751   				85				216				445				661
746			573   				62				98				586				684
746			620   				67				113				566				679
747			879   				93				173				481				654
747			885   				93				174				480				654
747			646   				69				122				556				678
747			2075   				11				369				367				736
747			738   				78				149				520				669
748			915   				96				176				476				652
748			2719   				82				254				412				666
748			762   				80				155				513				668
748			838   				88				167				493				660
749			945   				98				180				471				651
749			861   				90				171				488				659
749			959   				99				181				469				650
750			969   				100				182				468				650
750			370   				38				65				647				712
751			977   				101				183				467				650
751			398   				43				70				638				708
751			475   				50				85				616				701
752			401   				43				71				638				709
752			618   				67				669				16				685
752			508   				53				90				609				699
752			588   				63				101				588				689
753			448   				48				80				625				705
753			292   				32				213				508				721
753			745   				79				150				524				674
753			841   				89				167				497				664
754			490   				51				87				616				703
754			931   				97				178				479				657
754			421   				45				75				634				709
755			553   				60				96				599				695
755			536   				57				94				604				698
756			633   				68				116				572				688
756			968   				100				182				474				656
756			214   				24				134				598				732
757			647   				69				123				565				688
757			990   				102				185				470				655
757			510   				53				91				613				704
759			964   				100				293				366				659
760			950   				99				180				481				661
761			474   				50				85				626				711
761			613   				67				676				18				694
761			2402   				51				123				587				710
763			894   				94				175				494				669
763			551   				58				0				705				705
763			2801   				91				119				553				672
764			997   				103				185				476				661
765			422   				45				75				645				720
765			2352   				45				21				699				720
766			2178   				19				227				520				747
767			807   				84				162				521				683
767			2865   				98				383				286				669
769			2559   				65				40				664				704
770			2381   				48				511				211				722
770			2329   				43				34				693				727
771			612   				66				688				17				705
772			3   				1				3				768				771
772			2943   				107				72				593				665
777			2843   				96				290				391				681
777			2632   				73				70				634				704
778			610   				66				696				16				712
779			2046   				8				18				753				771
779			2524   				62				11				706				717
780			2244   				30				196				554				750
782			2241   				30				44				708				752
783			2232   				29				298				456				754
784			2849   				96				26				662				688
785			609   				66				703				16				719
785			2828   				95				99				591				690
787			2743   				84				286				417				703
788			2476   				58				81				649				730
789			2976   				111				101				577				678
792			2974   				111				306				375				681
793			607   				66				710				17				727
793			2732   				84				429				280				709
794			2725   				83				19				692				711
796			2397   				51				133				612				745
797			2851   				96				8				693				701
798			2532   				63				50				685				735
802			603   				66				718				18				736
806			2357   				45				9				752				761
809			598   				65				0				744				744
809			2830   				95				195				519				714
809			2030   				7				50				752				802
812			2982   				111				130				571				701
815			591   				65				735				15				750
816			2693   				78				3				735				738
816			2069   				10				244				562				806
817			2738   				84				61				672				733
818			2403   				51				204				563				767
818			581   				63				749				6				755
819			2081   				11				2				806				808
820			2701   				81				163				576				739
821			586   				63				1				757				758
821			2637   				74				142				605				747
821			2818   				94				79				648				727
822			2092   				12				283				527				810
823			2464   				57				201				565				766
823			2968   				110				49				664				713
824			2280   				35				57				732				789
826			2406   				51				56				719				775
827			2505   				61				17				749				766
828			2930   				103				60				665				725
828			2926   				103				103				622				725
828			580   				63				756				9				765
830			2031   				7				12				811				823
831			2107   				13				70				748				818
835			2633   				73				178				584				762
836			2083   				11				25				800				825
842			2630   				73				212				557				769
843			2515   				61				344				438				782
844			2728   				83				324				437				761
845			576   				62				0				783				783
845			2100   				13				454				378				832
846			2970   				110				157				579				736
847			2697   				81				250				516				766
848			2562   				65				66				717				783
852			2554   				65				21				766				787
856			574   				62				774				20				794
856			2752   				85				6				765				771
856			2862   				97				293				466				759
858			2561   				65				6				787				793
859			2303   				41				256				562				818
864			571   				62				785				17				802
866			2431   				53				185				628				813
867			2369   				47				11				809				820
868			2414   				52				507				309				816
869			2199   				22				6				841				847
870			2892   				100				5				765				770
872			566   				62				793				17				810
874			2581   				68				2				804				806
874			2903   				101				128				645				773
877			2359   				45				334				498				832
880			2592   				69				53				758				811
881			565   				62				801				18				819
881			2661   				76				97				708				805
882			2158   				18				289				575				864
884			560   				60				817				7				824
885			2502   				60				9				816				825
885			2945   				107				216				562				778
886			564   				60				1				825				826
887			2859   				97				32				758				790
890			2306   				41				8				841				849
892			2827   				94				99				699				798
894			2708   				82				578				234				812
895			2276   				35				207				653				860
896			2643   				74				173				649				822
896			2671   				76				253				567				820
897			2151   				17				112				768				880
898			2422   				53				151				694				845
899			2173   				19				36				844				880
900			2595   				69				230				601				831
901			2265   				33				19				849				868
902			2319   				42				26				834				860
904			559   				60				825				19				844
906			2273   				33				76				797				873
908			2503   				60				0				848				848
909			2979   				111				44				754				798
909			2571   				67				217				625				842
915			548   				58				1				856				857
916			2963   				110				196				610				806
916			2837   				95				527				294				821
918			2944   				107				550				261				811
918			2023   				5				301				612				913
920			2880   				99				73				748				821
922			2813   				92				175				655				830
922			543   				58				856				8				864
923			545   				58				848				17				865
923			2275   				33				357				533				890
925			2518   				62				368				495				863
929			2627   				73				188				668				856
930			2218   				28				14				888				902
930			2153   				17				0				913				913
931			2547   				64				336				531				867
931			2578   				68				108				755				863
933			2269   				33				29				871				900
934			2596   				69				143				722				865
934			2774   				88				35				811				846
935			2479   				58				345				532				877
937			539   				57				0				880				880
937			2146   				17				244				676				920
938			2980   				111				167				660				827
941			2884   				99				130				712				842
944			2216   				28				217				699				916
